1726,152
1728,157
1736,168
1743,178
1750,187
1755,196
1760,206
1765,213
1769,220
1772,225
1777,232
1779,236
1781,242
1782,245
1785,249
1787,253
1788,257
1791,263
1793,265
1795,268
1797,272
1800,275
1801,278
1803,281
1806,283
1807,284
1809,286
1809,287
1810,289
1811,290
1812,291
1813,292
1814,293
1815,294
1816,295
1817,297
1818,298
1818,299
1819,300
1821,301
1823,302
1824,304
1825,306
1826,308
1827,308
1827,309
1829,310
1830,311
1830,312
1831,312
1831,313
1832,314
1833,314
1834,314
1834,313
1835,313
1835,312
1836,312
1837,312
1838,312
1838,311
1839,311
1840,310
1841,310
1842,310
1843,310
1844,310
1845,310
1846,310
1847,310
1848,310
1849,310
1847,311
1840,312
1834,313
1827,314
1819,317
1808,319
1798,323
1786,327
1775,330
1763,334
1753,338
1742,342
1729,346
1716,351
1703,354
1689,358
1675,362
1660,368
1646,372
1631,375
1618,379
1602,383
1587,387
1568,390
1553,396
1536,401
1517,409
1500,413
1481,418
1463,425
1446,428
1431,432
1415,436
1399,439
1382,442
1367,443
1353,445
1342,446
1333,447
1325,447
1318,447
1314,449
1310,448
1307,448
1305,448
1294,446
1279,442
1262,438
1243,433
1226,432
1207,429
1186,428
1161,426
1137,426
1106,424
1072,424
1041,424
999,425
959,425
921,427
882,429
845,429
810,431
786,431
762,431
744,431
731,431
719,431
709,431
704,431
701,430
697,430
696,430
695,430
685,430
671,428
656,427
643,427
627,426
613,426
600,426
588,426
577,426
567,426
555,426
543,426
533,426
523,426
516,426
508,426
500,426
494,426
486,426
482,426
477,425
475,425
472,425
469,425
468,425
467,425
466,425
465,425
473,427
485,431
498,436
514,442
528,447
542,456
557,461
575,470
590,477
609,486
627,494
647,506
673,519
689,528
705,536
719,542
733,550
745,554
754,561
763,565
772,569
775,571
781,574
784,577
786,578
800,592
